Date,Open,High,Low,Close,Adj Close,Volume,Index,Label
2018-02-01,10237,10289,8812,9171,9171,9959400448,30,Fear
2018-02-02,9142,9142,7796,8831,8831,12726899712,15,Extreme Fear
2018-02-03,8852,9431,8252,9175,9175,7263790080,40,Fear
2018-02-04,9176,9335,8031,8277,8277,7073549824,24,Extreme Fear
2018-02-05,8271,8365,6757,6955,6955,9285289984,11,Extreme Fear
2018-02-06,7052,7851,6048,7754,7754,13999800320,8,Extreme Fear
2018-02-07,7755,8509,7237,7621,7621,9169280000,36,Fear
2018-02-08,7638,8559,7638,8266,8266,9346750464,30,Fear
2018-02-09,8272,8737,7885,8737,8737,6784820224,44,Fear
2018-02-10,8720,9123,8295,8622,8622,7780960256,54,Neutral
2018-02-11,8616,8616,7931,8130,8130,6122189824,31,Fear
2018-02-12,8141,8986,8141,8927,8927,6256439808,42,Fear
2018-02-13,8927,8958,8455,8598,8598,5696719872,35,Fear
2018-02-14,8600,9519,8600,9495,9495,7909819904,55,Greed
2018-02-15,9488,10235,9396,10166,10166,9062540288,71,Greed
2018-02-16,10136,10324,9825,10234,10234,7296159744,67,Greed
2018-02-17,10208,11140,10149,11113,11113,8660880384,74,Greed
2018-02-18,11123,11350,10326,10552,10552,8744009728,63,Greed
2018-02-19,10553,11274,10513,11225,11225,7652089856,67,Greed
2018-02-20,11232,11959,11232,11404,11404,9926540288,74,Greed
2018-02-21,11372,11419,10479,10690,10690,9405339648,54,Neutral
2018-02-22,10660,11039,9939,10005,10005,8040079872,44,Fear
2018-02-23,9937,10487,9735,10301,10301,7739500032,39,Fear
2018-02-24,10288,10597,9547,9813,9813,6917929984,31,Fear
2018-02-25,9796,9923,9407,9665,9665,5706939904,33,Fear
2018-02-26,9669,10475,9502,10367,10367,7287690240,37,Fear
2018-02-27,10394,10879,10246,10726,10726,6966179840,44,Fear
2018-02-28,10687,11090,10393,10398,10398,6936189952,41,Fear
2018-03-01,10385,11052,10353,10951,10951,7317279744,38,Fear
